id,customer_name,customer_id,account_type,statement_date,current_balance,opening_balance,account_no,email,phoneNo,transaction_date,transaction_amount,transaction_decription,transaction_id,transaction_type
1111111_Nov_2024,John Doe,10001,savings,03-11-2024T20:00:00,4200.50,4000.00,acc001,johndoe@example.com,1234567890,03-11-2024T16:00:00,600.00,home repair services,trans011,debit
1111111_Nov_2024,John Doe,10001,savings,03-11-2024T20:00:00,4200.50,4000.00,acc001,johndoe@example.com,1234567890,04-11-2024T09:30:00,500.00,bonus received,trans012,credit
1111111_Nov_2024,John Doe,10001,savings,03-11-2024T20:00:00,4200.50,4000.00,acc001,johndoe@example.com,1234567890,04-11-2024T10:00:00,75.00,coffee shop,trans013,debit
1111111_Nov_2024,John Doe,10001,savings,03-11-2024T20:00:00,4200.50,4000.00,acc001,johndoe@example.com,1234567890,04-11-2024T11:30:00,400.00,paid for online course,trans014,debit
1111111_Nov_2024,John Doe,10001,savings,03-11-2024T20:00:00,4200.50,4000.00,acc001,johndoe@example.com,1234567890,05-11-2024T14:00:00,900.00,salary credited,trans015,credit
1111111_Nov_2024,John Doe,10001,savings,03-11-2024T20:00:00,4200.50,4000.00,acc001,johndoe@example.com,1234567890,05-11-2024T15:00:00,300.00,gifts for family,trans016,debit
1111111_Nov_2024,John Doe,10001,savings,03-11-2024T20:00:00,4200.50,4000.00,acc001,johndoe@example.com,1234567890,05-11-2024T16:30:00,250.00,paid for concert tickets,trans017,debit
1111111_Nov_2024,John Doe,10001,savings,03-11-2024T20:00:00,4200.50,4000.00,acc001,johndoe@example.com,1234567890,06-11-2024T10:00:00,200.00,received bonus from side gig,trans018,credit
1111111_Nov_2024,John Doe,10001,savings,03-11-2024T20:00:00,4200.50,4000.00,acc001,johndoe@example.com,1234567890,06-11-2024T11:00:00,600.00,purchase of new laptop,trans019,debit
1111111_Nov_2024,John Doe,10001,savings,03-11-2024T20:00:00,4200.50,4000.00,acc001,johndoe@example.com,1234567890,06-11-2024T12:30:00,150.00,monthly subscription service,trans020,debit
